"","Scenario","Payload"
"342","A drone-mounted RGB camera was used to acquire imagery for hierarchical GEOBIA to perform species-level mapping of vegetation cover in the Himalaya.","RGB"
"343","Used a drone-mounted ultra-high-definition video camera to automatically monitor and estimate honeybee activity outside the hive and detect gathering spots via heat maps.","RGB"
"344","UAV aerial imagery used to quickly assess post-typhoon disaster loss, monitor ecological restoration and reconstruction status, and visualize disaster data","RGB"
"345","Ultra-high-resolution UAV (drone) RGB imagery was used with deep-learning object detection to identify and map pearl bluebush shrubs, providing plant count, location, and density as fine-scale indicators of rangeland ecosystem condition for monitoring.","RGB"
"346","A drone was used to capture visible (RGB) imagery for GCC and multispectral data for NDVI to monitor post-fire vegetation recovery and quantify vegetation indices in boreal Cajander larch forests.","RGB"
"347","UAV-mounted cameras were used with photogrammetric software to reconstruct 3D models of inselbergs for microhabitat structure and hydrological flow simulation, and near-infrared imaging was used to map proxies of photosynthetic activity.","RGB"
"348","The study used a drone (Unoccupied Aerial System) to collect aerial RGB imagery for spatial documentation and quantitative tracking of outplanted branching coral fragments, allowing quantification of species-specific coral cover changes over a one-year period for monitoring reef restoration.","RGB"
"349","UAV-supported photogrammetry using high-resolution RGB imagery to produce a digital surface model and orthophotograph for detailed mapping of mudflat morphology, crab burrowing activity, and benthic biofilm development.","RGB"
"350","High-resolution RGB imagery acquired by UAS to quantify pine tree defoliation at tree level and assess impacts of pine processionary moth outbreaks","RGB"
"351","Drone-mounted RGB imagery processed with Structure from Motion to generate 3D point clouds, DEMs, and orthomosaics for measuring saltmarsh distributions and analyzing geometric characteristics and biomorphodynamics of tidal saltmarsh flats.","RGB"
"352","Small unpiloted aerial system used to acquire aerial photographs for structure‐from‐motion photogrammetry to produce ultra‐fine resolution 3D models of vegetation structure, generate canopy height models, and predict above‐ground biomass and carbon stocks.","RGB"
"353","UAV-derived orthoimages from quarterly-surveyed UAV photographs were used to extract datasets on Spartina alterniflora to quantitatively analyze spatio-temporal characteristics and morphodynamic patterns of salt marsh margins.","RGB"
"354","UAV-based RGB imagery is used for rapid and accurate forest fire monitoring by detecting and enhancing small, obscured flames through a two-stage deep learning method (FireYOLO with Real-ESRGAN).","RGB"
"355","The hexacopter drone was used to collect aerial imagery to supplement traditional surveys for assessing abundance of Steller sea lions and to test image resolution for identifying permanently marked individuals.","RGB"
"356","The UAV was used to acquire oblique imagery and multispectral data of a campus with a Pegasus D2000 platform equipped with a D-MSPC2000 multispectral camera and a CAM3000 aerial camera to generate a 3D model, digital orthophoto, and multispectral maps for ecological assessment of vegetation and water bodies.","RGB"
"357","Used UAV imagery to map and attribute seven distinct surface types controlling albedo variability across the Greenland Ice Sheet dark zone.","RGB"
"358","UAS-derived RGB imagery was used to estimate leaf area index (LAI) in soybean fields, providing a non-destructive, high-throughput alternative to traditional LAI measurement methods.","RGB"
"359","Used drone-mounted RGB imagery to generate orthomosaics and digital surface models at varying spatial resolutions for mapping and classifying intertidal habitats (mudflats, salt marshes, oyster reefs, and water) using a GEOBIA workflow.","RGB"
"360","UAV-mounted RGB and multispectral sensors were used to map microtopographical patterns, wetness gradients, and plant community distribution in aapa mires using unsupervised (K-means) and supervised (Random Forest) classification methods.","RGB"
"361","Centimeter-scale UAV imagery was used to obtain high-resolution surface images to analyze and confirm the cooling effect of paddy fields and assess fine-scale surface temperature differences between saline-alkali land and rice fields.","RGB"
"362","The UAV-mounted camera captured low-altitude remote sensing images used for visual interpretation and analysis of ground fissure distribution characteristics and development laws.","RGB"
"363","UAV (drone) imagery used to distinguish areas without understory vegetation and estimate understory vegetation coverage quickly and economically with high spatial accuracy.","RGB"
"364","A drone-mounted RGB camera was used with UAV remote sensing technology to collect vegetation data for developing and applying IBI metrics to assess the ecological health of Poyang Lake Wetland.","RGB"
"365","The drone was used to capture aerial imagery of shallow seabeds processed with Structure from Motion and Multi View Stereo; the RGB imagery serves to generate point clouds whose depths are corrected for water refraction errors using a machine learning model trained on bathymetric LiDAR observations.","RGB"
"366","UAV videography was used to collect aerial video data to quantitatively investigate whale shark behavioural responses to ecotourism.","RGB"
"367","High‐resolution aerial photographs acquired via RGB and NIR cameras mounted on a UAV were used to build species distribution models and identify spatially restricted microhabitats for butterfly conservation.","RGB"
"368","sUAS (drone) used to collect repeatable low-altitude, high-resolution aerial imagery to survey spatial characteristics of coral cover and the distribution of coral bleaching, construct image mosaics, and assess colony-scale spatial dynamics of bleaching on patch reefs.","RGB"
"369","Inexpensive RGB cameras mounted on a UAV (drone) capture high-resolution photographs and real-time video for developing a real-time biodiversity map, enabling wildlife classification, poaching detection, species identification, and geo-localization of species.","RGB"
"370","High-resolution aerial photography using a UAV for detailed mapping of invasive plant distribution in agroforestry landscapes.","RGB"
"371","Drone-mounted very high-resolution RGB imagery was used to detect and map coldwater streams, particularly very narrow reaches, and to identify and correct misclassified coldwater habitats for conservation and management.","RGB"
"372","Used a UAS-mounted video camera to capture and analyze blue whale surface feeding behavior on krill patches for kinematic and behavioral foraging studies.","RGB"
"373","UAS (drone)-derived true colour orthophotos and orthomosaics (RGB imagery) were used to compute the DUVES index for characterizing dune vegetation state and analyzing vegetation dynamics.","RGB"
"374","The drone-mounted RGB camera was used to acquire high-resolution (3.02 cm pixel) imagery of mixed-species forests to support forest plot composition analysis, species group classification, and individual tree detection and identification, comparing visual interpretation with automated digital classification methods.","RGB"
"375","Drone-mounted RGB imagery from UAV flight campaigns was used to derive high-resolution vegetation cover information as reference data for regression models of Vegetation Cover Fraction and for mapping the distribution of Tillandsia spp. in the Atacama Desert.","RGB"
"376","UAV (drone) surveys equipped with RGB imaging were used to observe and count immature hawksbill and green turtles to estimate their abundance in the tidal lagoon.","RGB"
"377","The UAV-mounted visible spectrum (RGB) camera was used to detect and map individual orchard trees’ morphometrical properties (height and crown width) and assess their health status using vegetation indices (VARI and GLI).","RGB"
"378","UAV-based RGB imagery was used to develop and test a coarse-to-fine extraction technique for individual windthrown trees in rubber plantations following a typhoon.","RGB"
"379","UAV-acquired aerial images (RGB) were used to estimate green canopy cover (GCC) and study its relationship with leaf area index (LAI) and visible-spectrum vegetation indices to characterize crop growth.","RGB"
"380","A drone-mounted RGB camera was used for Structure-from-Motion photogrammetry to analyze bank erosion progression.","RGB"
"381","UAV-based photogrammetric imagery used to generate high-resolution surface models (point clouds) to isolate and quantify scrub cover for habitat management","RGB"
"382","A high-resolution digital camera mounted on a telescoping pole was used to capture semi-aerial images of shrubland groundcover for rapid ground-truth data collection, vegetation percent-cover estimation, and validation of optical remote-sensing datasets in steep, rugged Mediterranean-type ecosystems.","RGB"
"383","UAV-delivered RGB imagery used for multi-temporal GEOBIA land-cover mapping and calculation of visual landscape imageability indicators","RGB"
"384","A UAV platform was used to collect coincident RGB and thermal imagery to generate separate 3D point clouds of canopy structure and analyze spatial and temporal thermal variation in forest canopies.","RGB"
"385","UAV-based very-high-resolution aerial imagery was used to estimate desert shrub structure and heights, assess vegetation cover density changes after rainfall, and monitor plant distribution for restoration and revegetation projects.","RGB"
"386","The UAV platform was used to acquire high spatial resolution RGB imagery serving as reference data to validate and improve sub-pixel level extraction of lake boundaries from Sentinel-2 satellite imagery for desert lake monitoring in mining areas.","RGB"
"387","UAV-mounted visible light imagery (RGB) used to monitor vegetation cover in desert areas and develop a Lab color-space vegetation index (L2AVI) for accurate vegetation extraction under shadow conditions to support land desertification control.","RGB"
"388","Unoccupied aerial vehicles (drones) equipped with visible-light cameras were used to capture high-resolution orthomosaics and elevation data via structure-from-motion photogrammetry to build centimeter-scale DEMs for detecting erosion and deposition around beaver dam analog restorations.","RGB"
"389","Small UAV-mounted RGB cameras were used to survey emergent kelp canopy, generate high-resolution orthomosaics, classify kelp cover, and produce kelp canopy maps to document spatial and temporal changes in kelp abundance for restoration and adaptive management.","RGB"
"390","The UAV platform is used to collect raw geospatial and spectral data (3D point clouds, NDVI, DTM, DSM) via LiDAR, multispectral and RGB cameras for automatic assessment of ecological quality in riparian green infrastructure monitoring.","RGB"
"391","UAV-mounted RGB camera imagery was used to map and analyze landscape metrics over a 2.12 km meandering river reach to assess meander development, forest cover changes, habitat diversity, and nesting-site formation for avifauna.","RGB"
"392","UAV-mounted RGB imagery was used to rapidly collect georeferenced data for delineation, classification, and biomass estimation of submerged aquatic vegetation (eelgrass and macroalgae) to monitor spatial extent and ecosystem dynamics.","RGB"
"393","Low-altitude aerial RGB imagery was collected using off-the-shelf digital cameras on a drone to produce high-resolution 3D measurements of canopy structure and spectral attributes via photogrammetric Structure from Motion.","RGB"
"394","UAV-based RGB imagery was used to derive fractional vegetation cover and assess plant growth status for determining desirable and stressing groundwater depths","RGB"
"395","UAV-based RGB imagery was used to classify and map biological soil crust distribution patterns in sandization areas of the Brazilian Pampa in relation to local topography.","RGB"
"396","Small UAV-based aerial imaging was used to generate vegetation cover maps and extract topographic data in reservoir water level fluctuation zones for quantitative analysis of community composition, spatial distribution patterns, and environmental factors.","RGB"
"397","Unoccupied aerial vehicles equipped with RGB imagery were used to collect morphometric measurements of humpback whales for constructing 3D models to estimate body volume and assess body condition.","RGB"
"398","UAV photogrammetry was used to monitor morphological changes of coastal dune notches and assess associated vegetation responses over two years.","RGB"
"399","UAV-based RGB imagery from a DJI Mavic Pro was used for high-precision, species-level wetland vegetation classification and monitoring in Honghu wetland.","RGB"
"400","The drone-mounted RGB camera was used to capture high-resolution aerial imagery for tree crown recognition, enabling species identification, crown delineation, species distribution mapping, and ecological assessments using neural network–based detection and segmentation methods.","RGB"
"401","A VTOL drone equipped with an action camera (RGB) and onboard GPS was used to conduct automated, programmed line and area surveys over coastal seas, enabling systematic photogrammetry, photo-identification, and GPS location datasets to describe the spatiotemporal distribution and social structure of finless porpoises.","RGB"
"402","Two DJI MAVIC2 Enterprise Advanced drones were used to collect RGB and thermal infrared footage of Hainan gibbons, providing new data on their movement patterns in understory and canopy, surface body temperatures, and movement area.","RGB"
"403","Drone-recorded video imagery is used to automatically track the georeferenced locations and body postures of free-roaming animals, classify species and age-sex classes, and reconstruct detailed 3D landscape models to study animal behavior, sensory ecology, and decision-making in natural environments.","RGB"
"404","Drones were used to capture orthomosaic RGB imagery to census surface-nesting seabirds and derive nest counts for monitoring and assessing Important Bird and Biodiversity Areas.","RGB"
"405","Drones equipped with RGB imagery were used to conduct field surveys to estimate the current range and update detailed digital maps of Ptilostemon greuteri populations for conservation status assessment.","RGB"
"406","A drone-mounted digital camera was used to conduct aerial surveys of a coastal walrus assemblage, estimating herd size and demographic composition.","RGB"
"407","A drone was used to survey sediment microtopographic features via imagery to map the distribution of selected features linked to species, enabling extrapolation of ecosystem function measures across broad spatial scales.","RGB"
"408","Sophisticated imaging sensors mounted on drones and underwater vehicles are used to collect imagery for mapping and monitoring tidal marsh ecosystems.","RGB"
"409","Drone-mounted camera used for orangutan nest surveys to assess population density for conservation efforts.","RGB"
"410","Drones were used to collect imagery for conducting chick counts in Sandwich Terns to assess breeding success, comparing accuracy, precision, and disturbance against traditional ground counts.","RGB"
"411","Drones equipped with an RGB camera and a multispectral multi-camera array were used to derive photogrammetric canopy height reconstructions and NDVI maps to relate drone-acquired observations to aboveground biomass in Arctic tundra.","RGB"
"412","Drones equipped with high-resolution RGB cameras were used to capture imagery of coral reef substrates at Heron Reef, Australia. The imagery was processed in a semi-automatic workflow to classify coral, sand, and rock/dead coral substrates and map live coral cover, enabling efficient drone image processing for coral reef monitoring and satellite imagery calibration/validation.","RGB"
"413","Used a quadcopter drone to capture imagery of golden cownose rays and whale sharks feeding, documenting their co-occurrence and informing ecological and trophic interaction studies.","RGB"
"414","Unmanned aerial vehicle used to perform an aerial survey and individually count adult amphibian (Pelophylax lessonae) individuals at the breeding site during peak breeding season.","RGB"
"415","Drone-mounted camera was used to obtain aerial footage to examine the characteristics and timing of collective deep dives (initial divers and dive lag) in long-finned pilot whales.","RGB"
"416","High-spatial-resolution drone imagery was used to validate the automatic identification of alpine grasslines from remote sensing data.","RGB"
"417","A consumer drone equipped with an RGB camera is used to capture aerial imagery of large mammals (cattle), and object detection on orthomosaic images automates population surveys to collect wildlife population data.","RGB"
"418","Drone aerial survey using RGB imagery to analyze surface deformation and stability characteristics of the Zhuangfang landslide.","RGB"
"419","Drone-based remote sensing imaging using RGB cameras to detect and monitor pine wilt disease in forests with an improved YOLOv8 detection algorithm.","RGB"
"420","Drones used for aerial remote sensing with RGB imagery to provide repeat and on-demand surveillance, high-resolution coverage, morphometric photogrammetry, and computer vision/deep learning applications in pinniped research and management.","RGB"
"421","Used aerial imagery from drone observations to analyze vegetation spatial patterns and ecological processes in reservoir riparian zones under inundation disturbances.","RGB"
"422","Drone aerial photography was used to conduct a comprehensive analysis of the distribution characteristics and formation of soil balls in dam-controlled watersheds following an extreme rainstorm.","RGB"
"423","Drone-based orthophotos (RGB imagery) were used to generate an up-to-date vegetation map for Il-Ballut ta’ Marsaxlokk, allowing assessment of halophilous vegetation diversity, habitat identification, and ecological analyses.","RGB"
"424","Used drone-based RGB photography to monitor Critically Endangered and invasive gecko species in inaccessible canopy areas, determining optimal approach distances for detection and species-level identification.","RGB"
"425","The study uses stationary camera traps to non-invasively monitor bird populations by capturing RGB images, which are transmitted over 3/4G networks and processed with deep learning (Faster-RCNN on GPUs) for real-time species classification and automated false-positive removal.","RGB"
"426","Drone-based RGB imagery was used to capture high spatial and temporal resolution images of the rehabilitated landscape to quantify vegetation response (plant density, foliage cover, canopy area) of woody species before and after fire disturbance.","RGB"
"427","The study uses high-resolution drone optical imagery (RGB) and LiDAR-derived digital surface models acquired from a drone to classify tree species in forests via convolutional neural network–based deep learning models, and evaluates the impact of geometric data augmentation on classification performance.","RGB"
"428","Drone imagery was used at the landscape scale to screen gypsum habitat cover classes and identify ‘safe sites’ for introduction of the endangered Mojave Desert gypsophile Arctomecon humilis.","RGB"
"429","Commercial drones equipped with conventional RGB and specialized GRN (including near-infrared) cameras were used to classify mangrove species in an arid environment using random forest, deriving vegetation indices and canopy height for species identification.","RGB"
"430","Drones were used to conduct habitat mapping and elevation surveys to monitor sediment accretion and vegetation dynamics following tidal wetland restoration.","RGB"
"431","Drones equipped with digital video cameras were used to record and analyze lateralized social behavior patterns (affiliative, agonistic, resting contexts) in a feral population of horses.","RGB"
"432","The study used a Phantom 3 Advanced drone equipped with an HD-standard camera to capture georeferenced images and create orthomosaics for automatic object recognition of Black-necked swans, thereby optimizing analysis time and data storage in ecological monitoring.","RGB"
"433","The study uses a drone-mounted camera to capture footage of free-living St. Lawrence belugas at various altitudes, speeds, and approach angles to assess disturbance thresholds and cetacean behavioral responses.","RGB"
"434","Used a drone mapping survey to estimate area cover of invasive Vaucheria aff. compacta mats on the tidal flat.","RGB"
"435","Used drone-based RGB orthomosaic imagery to identify indicators of feral horse presence and assess their ecological impacts on alpine riparian habitat.","RGB"
"436","Drones are used to remotely retrieve data (images and ecological monitoring data) from terrestrial monitoring devices deployed for wildlife and phenology monitoring in extreme regions via an IoRT network.","RGB"
"437","A quadcopter drone (sUAV) was used to collect RGB imagery to create orthomosaics and calculate the Visible Atmospherically Resistant Index (VARI) for mapping invasive annual grasses regardless of phenological stage in Mojave Desert preserves.","RGB"
"438","Drone was used to acquire high-precision terrain characteristics and to map the location and degree of soil erosion on the reclaimed opencast coal mine dump.","RGB"
"439","Drone-mounted imagery was used to produce high-resolution orthomosaics and a digital surface model to map mussel aggregations and evaluate the role of topographic features, intertidal height, slope, and orientation on mussel distribution.","RGB"
"440","Low‐level drone photogrammetry with RGB imagery to construct surface orthomosaics and elevation models of tidal flats for high‐resolution neoichnological datasets, used to analyze shorebird track distributions and substrate cohesiveness.","RGB"
"441","A professional drone was used to capture imagery and generate an updated orthophoto plan for topographical mapping and to support simulation and design of river weir modifications.","RGB"
"442","Ocean-surface Saildrones (unmanned vehicles) follow northern fur seals to collect biological imagery and fluid samples, and aerial drones (Snotbots) fly through cetacean exhales to collect microbial samples.","RGB"
"443","Drone-based field survey was used to collect georeferenced imagery data to generate a database for validating the connectivity model and identifying priority locations for assisted restoration of forest fragments.","RGB"
"444","Detection of oil palm trees from fixed-wing VTOL drone aerial imagery for counting and plantation inventory using deep learning models","RGB"
"445","The drone equipped with an RGB camera was used to survey and detect model and live lizards in inaccessible terrain, assess detection probability relative to human observers, capture close-up photos for species and individual identification, and evaluate lizard responses to an approaching drone.","RGB"
"446","Drone-mounted visible (RGB) and thermal infrared sensors were used to collect high-resolution imagery of colonial marsh bird nests to study nest dispersion, clustering patterns, and habitat associations.","RGB"
"447","Drone imagery was used to identify ungulate visitation patterns and assess their impacts on !nara cover and melon production.","RGB"
"448","Use of a drone-mounted camera to non-destructively estimate individual shrub biomass via volumetric measurements","RGB"
"449","High-resolution drone-based RGB imagery was used to capture planar dimensions of coral colonies across reef flat habitats, allowing conversion to 3D contour lengths and estimation of coral carbonate production at larger spatial scales.","RGB"
"450","An ultralow-flying drone under the forest canopy captured RGB images used in a Structure from Motion workflow to generate dense point clouds and a canopy height model for reconstructing understory structure and mapping understory vegetation biomass distribution.","RGB"
"451","Used unoccupied aircraft systems (drones) equipped with visible-light (RGB) and thermal-infrared cameras to survey harbor and fur seals at haul-outs, derive locations and counts, and model fine-scale habitat drivers.","RGB"
"452","Drone platforms were used to acquire very high‐resolution RGB and multispectral images and LiDAR data to map and quantify liana leaf coverage over tree crowns, assess relationships with ground measurements, and compare spectral signatures of liana patches versus tree crowns.","RGB"
"453","Drone-mounted RGB camera used to film and video coastal and migratory marine wildlife, documenting presence, behaviours (e.g., feeding events), and human–wildlife interactions to provide biologically meaningful observations.","RGB"
"454","Used for aerial monitoring of wild animals to covertly observe groups with minimal disturbance by computing optical flow from camera imagery.","RGB"
"455","Multirotor drone equipped with high-resolution RGB camera used to detect and survey Geoffroy’s spider monkeys in closed-canopy tropical forest.","RGB"
"456","Oblique drone RGB imagery was used for automated detection and tracking of belugas, kayaks, and motorized boats in order to increase efficiency in marine mammal population surveys using deep learning algorithms.","RGB"
"457","A low‐altitude remotely piloted drone equipped with visible (RGB) and near‐infrared sensors was used to detect fine‐scale seasonal seagrass variability via spectral indices and supervised classification, and to identify and quantify macrofauna benthic activity from high‐resolution orthomosaics for conservation monitoring.","RGB"
"458","The drone was used to acquire high-resolution imagery of sandy soil to detect and map hydrocarbon (oil) pollution via NDVI analyses.","RGB"
"459","The DJI Mavic-2 Zoom drone was used to acquire visual imagery for observing Dalmatian pelican colonies, counting individuals, and assessing patterns of mortality during the breeding season.","RGB"
"460","Drone-mounted visible light camera was used to collect vegetation images for calculation of vegetation indices and to identify vegetation in the ecological environment.","RGB"
"461","Drones equipped with off-the-shelf cameras were used to collect photos and videos of bottlenose dolphins to track individual and group foraging behaviour.","RGB"
"462","Drones were used for systematic seasonal aerial monitoring of the coastal lagoons and dunes using RGB imagery, and DGPS was employed for detailed mapping of the coastal zone and topographic profiling.","RGB"
"463","Used to count flock sizes of 33 waterbird species during breeding and non-breeding periods using drone imagery.","RGB"
"464","Drone surveys using RGB imagery were used to quantify how feral hog invasion alters marsh cordgrass–mussel mutualisms, assessing plant biomass reduction, habitat fragmentation, and resilience to drought disturbances.","RGB"
"465","Aerial drone imagery was used to derive pre- and post-storm elevation data to quantify spatially varying erosion and overwash.","RGB"
"466","Drone-based RGB imagery was used to georeference 21 temporary ponds and evaluate their surface size variability and hydroperiod over 12 months.","RGB"
"467","UAVs (drones) and ROVs (underwater robots) equipped with cameras were used for megafauna species identification, behavior observation, population monitoring, habitat characterization, and environmental protection area monitoring.","RGB"
"468","Aerial drones and an autonomous underwater vehicle (AUV) were employed to map and characterize a shallow‐water hydrothermal system. The drone‐mounted RGB camera produced detailed seafloor photomosaics from the shore to ~20 m depth, enabling identification of hydrothermal patches and seafloor textures, while the AUV surveys provided complementary in‐water seafloor characterization and ground‐truthing.","RGB"
"469","An underwater drone was deployed to obtain vertical profiles of water quality using physical/chemical sensors and to collect underwater images with an RGB camera, in order to assess the impact of floating solar panels on water quality and to observe biofouling on the structure.","RGB"
"470","Small, affordable drones were used to capture aerial imagery for automatic detection of holothurians (sea cucumbers) via a deep learning object detection model (YOLOv3), enabling broad-scale surveys of their populations and spatial distribution in shallow reef areas.","RGB"
"471","Drone-derived structure-from-motion photogrammetry (RGB imagery) and terrestrial laser scanning (Lidar) were used to characterize spatial and temporal variation in the 3D structure of intertidal Sabellaria alveolata biogenic reefs at habitat and plot scales.","RGB"
"472","Drones were used to capture aerial imagery for wildlife surveys of koalas, enabling manual and machine learning–based automated detection to assess and reduce biases in detection probabilities for better management of threatened populations.","RGB"
"473","Drone-based digital aerial photogrammetry (DAP) using RGB imagery was employed to characterize regenerating vegetation structure (height, canopy complexity, cover) and assess spatial arrangement for ecological restoration monitoring.","RGB"
"474","A drone equipped with an RGB camera was used to track surface-foraging tern trajectories in synchrony with dynamic turbulent surface flow features to identify localized turbulence as physical foraging cues.","RGB"
"475","Drone aerial imagery was used to accurately determine woody species density and visually understand habitat changes.","RGB"
"476","Aerial drones equipped with RGB cameras were used to record and analyze polar bears’ foraging behaviour on common eider eggs to assess their foraging efficiency.","RGB"
"477","The drone was used to capture photo documentation of the flood‐plain microhabitats to map the distribution and microhabitat requirements of the Keeled Plump Bush‐cricket.","RGB"
"478","Drones equipped with RGB cameras were used to collect aerial imagery for detecting and counting flowers of the tundra sedge E. vaginatum, enabling large-scale plant phenology analysis in remote Arctic regions.","RGB"
"479","Drones (DJI Inspire 2 and Parrot Bluegrass) were used to map glacier surfaces (DSM) and trace shaded areas, and their onboard RGB (Zenmuse x5s) and multispectral (Sequoia+) cameras were used to characterize the spectral properties of shaded meltwater near glacier fronts.","RGB"
"480","A DJI Phantom 4 Pro aerial drone with its onboard camera was used to capture RGB video footage of wild blacktip sharks swimming. The recordings enabled frame-by-frame motion tracking of anatomical landmarks to quantify swimming kinematics (tailbeat frequency, amplitude, speed, anterior/posterior flexion) and demonstrate a double oscillating system.","RGB"
"481","Drone-based surveys were used to assess the spatial distribution of adult male sea turtles in the southern Gulf of Mexico for management and restoration purposes.","RGB"
"482","A 3DR Solo quadcopter equipped with a high-resolution digital camera was used to collect aerial imagery to map and monitor Western Grebe breeding colonies and model nest survival while minimizing disturbance.","RGB"
"483","Drone-mounted RGB imagery was used to map tree crowns and census trees within a 50-ha forest plot to parameterize models predicting direct and secondary lightning damage.","RGB"
"484","Drone was used to capture imagery to map and analyze the spatial arrangement of late Ediacaran reefs.","RGB"
"485","Drone-mounted RGB imagery was used to document spatial and temporal variation in assemblages of large marine fauna off ocean beaches.","RGB"
"486","A remotely controlled drone equipped with an RGB camera was used for aerial photogrammetry to collect body size data of blue whales and test morphological distinctness of the Chilean subspecies.","RGB"
"487","Aerial drone imaging was used to conduct 293 two-kilometer transects over two years to estimate relative abundance and group size of Australian cownose rays for fisheries conservation biology.","RGB"
"488","A drone-mounted RGB camera was used to capture images of a mangrove ecosystem in Fiji for segmentation via the SLIC superpixel algorithm and k-means clustering to assist ecosystem monitoring and conservation.","RGB"
"489","Drone flights were used to conduct aerial surveys (photography) to census breeding Common Redshanks on saltmarsh islands, improving detection of nests and birds, reducing survey time, cost, and disturbance compared to traditional ground counts.","RGB"
"490","Drone-mounted photogrammetry was used to create a high-resolution (2 × 2 cm) digital elevation model of the intertidal zone, which drove solar radiation and heat budget models to generate spatially explicit microclimate maps and predict organismal thermal performance and microrefugia.","RGB"
"491","A fixed-wing drone equipped with RGB imagery was used to conduct photointerpretation and unsupervised classification of vegetation cover to assess habitat degradation by Lesser snow geese.","RGB"
"492","Drone-acquired ultra-high to very high resolution optical imagery used to derive digital elevation and vegetation height models for object-based mapping of fuzzy plant community clusters and habitat types in a patterned fen.","RGB"
"493","The study uses a commercial drone-mounted camera to capture images for automated detection of goats and tracking their activities","RGB"
"494","Drone-based photogrammetry (structure-from-motion) was used to estimate and partition canopy cover of oil palms and interplanted tree species in an agroforestry enrichment experiment to assess canopy heterogeneity and tree mortality risk.","RGB"
"495","Drone used to perform surveys of forest line changes in a coupled forest and shrub ecosystem via aerial photography.","RGB"
"496","Off-the-shelf drone-mounted RGB camera and automated image processing were used to rapidly estimate densities, size measurements, and biomass of edible jellyfish over large areas.","RGB"
"497","Fixed-wing drones equipped with RGB imagery were used to detect chimpanzee nests from the air in order to survey their distribution and density across western Tanzania.","RGB"
"498","The drone-mounted camera was used to perform coastal monitoring and surveys to analyze shoreline erosion and coastal estuary topographic changes, providing high-precision survey data for coastal protection planning.","RGB"
"499","A lightweight drone equipped with consumer-grade cameras was used to generate very high spatial resolution mosaics of intertidal seagrass habitats, enabling classification of seagrass cover and visual detection of biotic features such as lugworm mounds and cockle shells.","RGB"
"500","High-resolution aerial imagery and video from a drone were used to detect and localize fairy circles automatically using a convolutional neural network.","RGB"
"501","A consumer-grade RGB camera mounted on a small drone was used to collect aerial imagery for generating an ortho-rectified photomosaic and bathymetric DEM to measure small-scale three-dimensional features of a shallow-water coral reef and monitor its topographic complexity.","RGB"
"502","Use of ROV imagery from an underwater vehicle to obtain orthorectified images for quantifying projected sponge surface area and benthic community structure on mesophotic coral reefs.","RGB"
"503","Stereo-video remotely operated vehicle used to sample fish assemblages in subsea pipelines, reef and soft sediment habitats.","RGB"
"504","Drifting cameras equipped with an RGB video camera and an array of laser pointers are used to monitor benthic marine life, providing scale for measuring and estimating the density and size structure of organisms on the seabed.","RGB"
"505","High-resolution video imagery from ROVs was used to produce georeferenced seafloor mosaics and an automated image analysis pipeline to detect and quantify Beggiatoa mats for habitat identification and geochemical budget estimation.","RGB"
"506","The ROV-mounted video camera was used to survey epibenthic megafauna density before and after drilling disturbance and to conduct in situ experimental manipulations on echinoid stress responses.","RGB"
"507","UAV-based RGB imagery was used with Object Based Image Analysis to delineate and classify submerged aquatic vegetation (Fucus vesiculosus and Zostera marina), mapping cover and biomass to monitor eelgrass recovery and ecosystem dynamics.","RGB"
"508","The study used an autonomous underwater vehicle (REMUS-100 SharkCam) to follow and film basking sharks, collecting video imagery and environmental data on their sub-surface behaviour.","RGB"
"509","The Trident ROV was used to conduct systematic small- to meso-scale marine ecological surveys via imagery to classify benthic habitats, document algal communities and culturally important species, and generate high-resolution data for marine conservation and use planning around the Tl'ches archipelago.","RGB"
"510","A work-class ROV (remotely operated vehicle) fitted with stereo-video cameras was used to record deep-water fish abundance and assemblage composition along transects, and a CTD instrument collected conductivity, temperature, and depth data to inform species distribution models and map fish taxa in submarine canyon-valley habitats.","RGB"
"511","An underwater remotely operated vehicle (ROV) was deployed beneath polar sea ice to carry optical (RGB), acoustic (sonar), and physical/chemical sensors for interdisciplinary observation of the ice–ocean interface and associated ecosystem.","RGB"
"512","Remotely operated vehicles were used to explore deep-sea coral and cold seep habitats and document echinoids and holothurians using still photography and videography.","RGB"
"513","Remotely operated vehicles were used to acquire high-resolution imagery and to collect physical samples of deep-sea enteropneusts for species discovery and ecological characterization.","RGB"
"514","The unmanned remotely operated vehicle HYPER DOLPHIN was used to capture video imagery (RGB) of the deep seafloor for database archiving and digital processing functions such as panoramic image synthesis and video segmentation.","RGB"
"515","The ROV is deployed for deep-sea environment parameter measurement, optical observation, and sampling at depths up to 6000 m; RGB cameras are used for visual monitoring, and sampling tools collect water, sediment, and biological samples.","RGB"
"516","The remotely operated vehicle (ROV) platform used onboard video (dive videos) to observe and record biological and geographical features, producing imagery integrated into GIS databases for spatial analysis and management of remote seafloor habitats.","RGB"
"517","A working-class ROV (vehicle) was used with a high-resolution multibeam sonar system to map detailed submarine landslide headwall morphology and an onboard video camera (RGB) for close-up ground-truthing and sampling.","RGB"
